Player,Guild,Wins,Losses,Total,Winrate_%
DrikaMatadera,GELO E TECO,67,57,124,54.03
CHAMO3000,R E Q U 1 E M,67,85,152,44.08
Espejitoespejito,Curriculum Vitae,66,18,84,78.57
lDexxx,GELO E TECO,66,28,94,70.21
Lopezz93,Who is Lobitos,66,45,111,59.46
OrigenOroboros,Mythix,66,70,136,48.53
LWRegulus,Lethal Warri0rs,66,127,193,34.2
AKIHIRO1COL,DARKM1GHT,65,16,81,80.25
rubiaqestbuena,DARKM1GHT,65,16,81,80.25
v0xxxx,DARKM1GHT,65,20,85,76.47
Ry0z,Curriculum Vitae,65,22,87,74.71
Pichonis,Curriculum Vitae,65,35,100,65.0
Zaagann,Evil Gatitos,65,41,106,61.32
bastian548,Curriculum Vitae,65,42,107,60.75
PeIao,Ministry Of Bandits,65,73,138,47.1
Bytrex1602,Curriculum Vitae,64,34,98,65.31
MauASD,Mono Con Navaja,64,42,106,60.38
kratosGod03,Mono Con Navaja,64,56,120,53.33
Xeneize12,Ministry Of Bandits,64,61,125,51.2
WollingM,Ministry Of Bandits,64,62,126,50.79
lilross,Mythix,64,72,136,47.06
Sup3rMagr1N,S L I C E D,64,85,149,42.95
m4ieva,PlVAS,63,20,83,75.9
Maldaron,PlVAS,63,32,95,66.32
vasxzc,AO University,63,48,111,56.76
Zephrey,AO University,63,57,120,52.5
CeviroQs,GELO E TECO,62,31,93,66.67
demiurge01,Evil Gatitos,62,35,97,63.92
OTalDoPalas,Who is Lobitos,62,45,107,57.94
ShiroKahn,Curriculum Vitae,62,47,109,56.88
SnaxTM,Slammed,62,61,123,50.41
jf32b,Mono Con Navaja,62,74,136,45.59
DIGOreturns,desavence,62,90,152,40.79
KoronaVirus19,PlVAS,61,14,75,81.33
Ra1munda,PlVAS,61,17,78,78.21
GoldenCestShaco,AO University,61,56,117,52.14
MegaPikachu,R3conecting,61,100,161,37.89
citrax,Curriculum Vitae,60,13,73,82.19
Rodriiigo,Curriculum Vitae,60,20,80,75.0
3FNCaveira,PlVAS,60,23,83,72.29
darkWizarddd,PlVAS,60,29,89,67.42
7Reey,Who is Lobitos,60,43,103,58.25
diegomediaferrer,Curriculum Vitae,60,44,104,57.69
Xivolivo,R3conecting,60,90,150,40.0
BIPPOLAR,PlVAS,59,17,76,77.63
BrAires,PlVAS,59,18,77,76.62
LordCrespin,DARKM1GHT,59,21,80,73.75
Converkill,BlackSm0ke,59,33,92,64.13
Kleshnja,Life is game,59,33,92,64.13
Kross99,Curriculum Vitae,59,34,93,63.44
Dariiuuss,Who is Lobitos,59,51,110,53.64
Ralore,Mythix,59,51,110,53.64
AlecsanderGraal,D I N O C O,59,72,131,45.04
Dopatuterror,Gankers LetaLes,59,94,153,38.56
RETROSILA,Life is game,58,32,90,64.44
Narigudon,Who is Lobitos,58,43,101,57.43
Mixzim,GELO E TECO,58,44,102,56.86
Drnairwolf,Rogue Natives,58,47,105,55.24
Sstefan25,Ministry Of Bandits,58,54,112,51.79
Eleutheromania,Mono Con Navaja,58,72,130,44.62
KRUsha011,DARKM1GHT,57,13,70,81.43
FriggC,BlackSm0ke,57,19,76,75.0
chlmarce,Curriculum Vitae,57,31,88,64.77
Zilvercero,Curriculum Vitae,57,32,89,64.04
GuizzaarD,GELO E TECO,57,34,91,62.64
Jodarozit,Mono Con Navaja,57,35,92,61.96
07JAMP,BlackSm0ke,57,39,96,59.38
KilleroICEo,Cheer,57,42,99,57.58
Divinyy,S L I C E D,57,45,102,55.88
Patchy225,AO University,57,45,102,55.88
Defquebec,Keybump,57,46,103,55.34
DaBossB,Rogue Natives,57,52,109,52.29
